Batch_ID,Car_ID,Order_ID,Dropoff_Lat,Dropoff_Lon,Time_of_Day,Traffic_Condition,Distance_km,Actual_Delivery_Time_Min,Fuel_Consumed_L,Fuel_Cost_TND
3,Car_2,3-17,36.864169931623444,10.081623223033402,9:55,Moderate Traffic,2.84,7.41,0.28,0.62
3,Car_2,3-18,36.898071968908155,10.033830791904375,9:03,Moderate Traffic,5.68,12.17,0.57,1.25
3,Car_2,3-19,36.88983705264974,10.04153403320802,10:27,Moderate Traffic,1.14,2.97,0.11,0.24
3,Car_2,3-20,36.93836938376966,10.07072776383135,11:22,Moderate Traffic,5.99,12.84,0.6,1.32
3,Car_2,3-21,36.96516219621144,10.039002161319376,11:29,Moderate Traffic,4.1,10.7,0.41,0.9
3,Car_2,3-22,36.93830269443314,10.044768955155211,9:13,Moderate Traffic,3.03,7.9,0.3,0.66
3,Car_2,3-23,36.96491079623355,9.998551711994024,9:53,Moderate Traffic,5.06,10.84,0.51,1.12
4,Car_2,4-1,36.827696795535026,10.19621651397206,15:06,Moderate Traffic,2.7,7.04,0.27,0.59
4,Car_2,4-2,36.78054089846216,10.15614693979878,16:07,Rush Hour,6.34,15.22,0.91,2.0
4,Car_2,4-3,36.73519046647757,10.194155398073399,16:27,Rush Hour,6.07,14.57,0.87,1.91
4,Car_2,4-4,36.70706116744544,10.189535435867997,14:47,Moderate Traffic,3.15,8.22,0.32,0.7
4,Car_2,4-5,36.727801897787636,10.234464259128389,13:34,Moderate Traffic,4.62,12.05,0.46,1.01
4,Car_2,4-6,36.71240553102442,10.259909039545958,16:46,Rush Hour,2.84,8.52,0.41,0.9
4,Car_2,4-7,36.74075161443832,10.23544399431471,15:34,Moderate Traffic,3.83,9.99,0.38,0.84
4,Car_2,4-8,36.72767957366069,10.218478384970147,13:24,Moderate Traffic,2.1,5.48,0.21,0.46
4,Car_2,4-9,36.71705075475717,10.228055412455285,13:13,Moderate Traffic,1.46,3.81,0.15,0.33
4,Car_2,4-10,36.72624245844088,10.25404232192874,13:53,Moderate Traffic,2.53,6.6,0.25,0.55
4,Car_2,4-11,36.74149045477659,10.287683058624642,16:07,Rush Hour,3.44,10.32,0.49,1.08
4,Car_2,4-12,36.7892306664172,10.279025136661112,14:31,Moderate Traffic,5.36,11.49,0.54,1.19
4,Car_2,4-13,36.79915486832706,10.322029807523673,15:36,Moderate Traffic,3.99,10.41,0.4,0.88
4,Car_2,4-14,36.77328130929998,10.296271499728642,13:47,Moderate Traffic,3.68,9.6,0.37,0.81
4,Car_2,4-15,36.73453184198437,10.26054614897609,16:40,Rush Hour,5.36,12.86,0.77,1.69
5,Car_1,5-1,36.8253602813613,10.20387963138729,11:19,Moderate Traffic,2.89,7.54,0.29,0.64
5,Car_1,5-2,36.844447191370556,10.201179554963376,10:12,Moderate Traffic,2.14,5.58,0.21,0.46
5,Car_1,5-3,36.846454780058814,10.152033898183925,11:44,Moderate Traffic,4.38,11.43,0.44,0.97
5,Car_1,5-4,36.87391289883041,10.17797798993848,10:05,Moderate Traffic,3.83,9.99,0.38,0.84
5,Car_1,5-5,36.84006920517248,10.135522059428359,10:26,Moderate Traffic,5.33,11.42,0.53,1.17
5,Car_1,5-6,36.87252601874284,10.100056254009603,10:03,Moderate Traffic,4.79,12.5,0.48,1.06
5,Car_1,5-7,36.85545092635975,10.134266603792865,10:23,Moderate Traffic,3.59,9.37,0.36,0.79
5,Car_1,5-8,36.893019687279356,10.183346572317518,11:01,Moderate Traffic,6.04,12.94,0.6,1.32
5,Car_1,5-9,36.93987195370973,10.169565728420372,10:24,Moderate Traffic,5.35,11.46,0.53,1.17
5,Car_1,5-10,36.937810131439306,10.149878568799533,11:05,Moderate Traffic,1.76,4.59,0.18,0.4
5,Car_1,5-11,36.8999925087732,10.10498789436906,11:37,Moderate Traffic,5.8,12.43,0.58,1.28
5,Car_1,5-12,36.89727628854449,10.1270457967464,11:18,Moderate Traffic,1.98,5.17,0.2,0.44
5,Car_1,5-13,36.8956837218123,10.149880987443025,9:23,Moderate Traffic,2.04,5.32,0.2,0.44
5,Car_1,5-14,36.9268094436271,10.132914457073273,11:58,Moderate Traffic,3.78,9.86,0.38,0.84
5,Car_1,5-15,36.91032497696862,10.175840553331003,10:46,Moderate Traffic,4.23,11.03,0.42,0.92
5,Car_1,5-16,36.943381812589735,10.20749752156643,9:51,Moderate Traffic,4.63,12.08,0.46,1.01
5,Car_1,5-17,36.96152226280801,10.236471480117126,11:54,Moderate Traffic,3.27,8.53,0.33,0.73
5,Car_1,5-18,36.92315411826283,10.188663774815739,11:23,Moderate Traffic,6.02,12.9,0.6,1.32
5,Car_1,5-19,36.90216924938192,10.235128341662646,9:21,Moderate Traffic,4.74,12.37,0.47,1.03
5,Car_1,5-20,36.919159729319595,10.253597208956789,10:54,Moderate Traffic,2.5,6.52,0.25,0.55
5,Car_1,5-21,36.87751365501488,10.246442962872395,9:51,Moderate Traffic,4.67,12.18,0.47,1.03
5,Car_1,5-22,36.9005613134217,10.294981273037637,11:28,Moderate Traffic,5.02,10.76,0.5,1.1
5,Car_1,5-23,36.88448599920674,10.245417710127953,11:10,Moderate Traffic,4.76,12.42,0.48,1.06
5,Car_1,5-24,36.85316346058213,10.209174133008187,11:33,Moderate Traffic,4.75,12.39,0.47,1.03
5,Car_1,5-25,36.8388186382333,10.170802273527391,10:00,Moderate Traffic,3.77,9.83,0.38,0.84
5,Car_1,5-26,36.809266031436984,10.203968673329697,11:59,Moderate Traffic,4.42,11.53,0.44,0.97
6,Car_1,6-1,36.76642826008616,10.18375662651996,15:27,Moderate Traffic,4.46,11.63,0.45,0.99
6,Car_1,6-2,36.76578290197434,10.223975211658974,16:55,Rush Hour,3.58,10.74,0.51,1.12
6,Car_1,6-3,36.809376280267756,10.232511228697936,15:03,Moderate Traffic,4.91,12.81,0.49,1.08
6,Car_1,6-4,36.80081477717543,10.220187206617764,16:50,Rush Hour,1.45,4.35,0.21,0.46
6,Car_1,6-5,36.793300812050596,10.252438101177908,14:52,Moderate Traffic,2.99,7.8,0.3,0.66
6,Car_1,6-6,36.76773793312844,10.214853883404881,16:17,Rush Hour,4.39,13.17,0.63,1.39
6,Car_1,6-7,36.78326200958418,10.189357888611902,15:28,Moderate Traffic,2.85,7.43,0.29,0.64
6,Car_1,6-8,36.77406518879485,10.218521281022777,15:45,Moderate Traffic,2.79,7.28,0.28,0.62
6,Car_1,6-9,36.72784762944792,10.200055579815107,15:20,Moderate Traffic,5.4,11.57,0.54,1.19
6,Car_1,6-10,36.697543808558784,10.19729468836418,15:23,Moderate Traffic,3.38,8.82,0.34,0.75
6,Car_1,6-11,36.663891078443456,10.219030584032234,13:37,Moderate Traffic,4.21,10.98,0.42,0.92
6,Car_1,6-12,36.676343313245695,10.264708404382597,16:03,Rush Hour,4.3,12.9,0.61,1.34
6,Car_1,6-13,36.707237721922056,10.217749773316116,15:23,Moderate Traffic,5.42,11.61,0.54,1.19
6,Car_1,6-14,36.68324615715321,10.173629328372561,15:59,Moderate Traffic,4.75,12.39,0.47,1.03
6,Car_1,6-15,36.72403801697756,10.163584344156206,16:49,Rush Hour,4.62,13.86,0.66,1.45
6,Car_1,6-16,36.71186842880237,10.148156548554097,13:28,Moderate Traffic,1.93,5.03,0.19,0.42
6,Car_1,6-17,36.69235133462311,10.17062595312407,15:40,Moderate Traffic,2.95,7.7,0.3,0.66
6,Car_1,6-18,36.726648356066036,10.148788818225384,16:26,Rush Hour,4.28,12.84,0.61,1.34
6,Car_1,6-19,36.688483998383376,10.161210714840452,13:22,Moderate Traffic,4.39,11.45,0.44,0.97
6,Car_1,6-20,36.69132158272392,10.11482591097194,14:05,Moderate Traffic,4.15,10.83,0.42,0.92
6,Car_1,6-21,36.6516299978258,10.077588793225358,15:21,Moderate Traffic,5.52,11.83,0.55,1.21
6,Car_1,6-22,36.62448794314646,10.123593308544011,16:40,Rush Hour,5.09,12.22,0.73,1.61
6,Car_1,6-23,36.61310182537764,10.078587755301536,13:14,Moderate Traffic,4.21,10.98,0.42,0.92
6,Car_1,6-24,36.57184450387247,10.093483378169084,14:32,Moderate Traffic,4.78,12.47,0.48,1.06
6,Car_1,6-25,36.57886838229881,10.058998018274268,15:15,Moderate Traffic,3.18,8.3,0.32,0.7
6,Car_1,6-26,36.570127839353226,10.02725424418015,14:22,Moderate Traffic,3.0,7.83,0.3,0.66
6,Car_1,6-27,36.55150783703366,9.981590386407738,15:32,Moderate Traffic,4.57,11.92,0.46,1.01
6,Car_1,6-28,36.58865283459971,10.010098335163848,14:26,Moderate Traffic,4.85,12.65,0.48,1.06
6,Car_1,6-29,36.60961425685257,9.969027425145493,15:35,Moderate Traffic,4.34,11.32,0.43,0.95
6,Car_1,6-30,36.574553883995875,10.015444554897394,13:01,Moderate Traffic,5.69,12.19,0.57,1.25
6,Car_1,6-31,36.60008900751003,9.984321934796489,14:16,Moderate Traffic,3.97,10.36,0.4,0.88
6,Car_1,6-32,36.60298032208794,10.005255680763796,14:27,Moderate Traffic,1.9,4.96,0.19,0.42
6,Car_1,6-33,36.635399032424914,10.049509696184753,16:25,Rush Hour,5.35,12.84,0.76,1.67
6,Car_1,6-34,36.62398653686641,10.076690779302947,16:03,Rush Hour,2.74,8.22,0.39,0.86
6,Car_1,6-35,36.58877630227915,10.067621670761797,14:48,Moderate Traffic,4.0,10.43,0.4,0.88
6,Car_1,6-36,36.60600798625124,10.04813859854021,14:00,Moderate Traffic,2.59,6.76,0.26,0.57
6,Car_1,6-37,36.56058930740198,10.013789035511014,15:27,Moderate Traffic,5.91,12.66,0.59,1.3
6,Car_1,6-38,36.51524739058026,10.059022297268998,13:39,Moderate Traffic,6.46,13.84,0.65,1.43
6,Car_1,6-39,36.52643917685976,10.108964258181711,13:10,Moderate Traffic,4.63,12.08,0.46,1.01
6,Car_1,6-40,36.567603212945485,10.14006168811507,13:57,Moderate Traffic,5.35,11.46,0.53,1.17
6,Car_1,6-41,36.58219044800318,10.134133241174808,13:53,Moderate Traffic,1.71,4.46,0.17,0.37
7,Car_2,7-1,36.781395559579195,10.195506403024536,9:26,Moderate Traffic,3.06,7.98,0.31,0.68
7,Car_2,7-2,36.744232042121915,10.195605117386497,10:43,Moderate Traffic,4.13,10.77,0.41,0.9
7,Car_2,7-3,36.7175073641313,10.19304756560142,9:32,Moderate Traffic,2.98,7.77,0.3,0.66
7,Car_2,7-4,36.72990790652703,10.206204711134335,11:29,Moderate Traffic,1.81,4.72,0.18,0.4
7,Car_2,7-5,36.76546005522053,10.254088561655616,11:39,Moderate Traffic,5.82,12.47,0.58,1.28
7,Car_2,7-6,36.71578993626409,10.28169728715008,11:38,Moderate Traffic,6.05,12.96,0.6,1.32
7,Car_2,7-7,36.761442042586765,10.29731251764453,10:45,Moderate Traffic,5.26,11.27,0.53,1.17
7,Car_2,7-8,36.80677994929278,10.254951227585519,10:12,Moderate Traffic,6.3,13.5,0.63,1.39
7,Car_2,7-9,36.83828352941614,10.265650976777401,9:09,Moderate Traffic,3.63,9.47,0.36,0.79
7,Car_2,7-10,36.814299682684336,10.27497626910523,11:40,Moderate Traffic,2.79,7.28,0.28,0.62
7,Car_2,7-11,36.82470798831092,10.239787972669175,11:29,Moderate Traffic,3.34,8.71,0.33,0.73
7,Car_2,7-12,36.845091363766116,10.258927375430675,10:13,Moderate Traffic,2.84,7.41,0.28,0.62
7,Car_2,7-13,36.882974957827145,10.265723370602322,10:47,Moderate Traffic,4.26,11.11,0.43,0.95
7,Car_2,7-14,36.93057156362081,10.262356067075023,10:20,Moderate Traffic,5.3,11.36,0.53,1.17
7,Car_2,7-15,36.914164203783756,10.258593601239674,10:09,Moderate Traffic,1.85,4.83,0.18,0.4
7,Car_2,7-16,36.89795254400926,10.246291255954523,11:51,Moderate Traffic,2.11,5.5,0.21,0.46
7,Car_2,7-17,36.90495491232147,10.276733571309835,9:09,Moderate Traffic,2.82,7.36,0.28,0.62
7,Car_2,7-18,36.91879321998234,10.238681564559036,10:30,Moderate Traffic,3.72,9.7,0.37,0.81
7,Car_2,7-19,36.90093744799198,10.196693508233691,11:19,Moderate Traffic,4.23,11.03,0.42,0.92
7,Car_2,7-20,36.94638099272152,10.176227826729427,9:55,Moderate Traffic,5.37,11.51,0.54,1.19
7,Car_2,7-21,36.99054083769495,10.195418609018713,10:54,Moderate Traffic,5.2,11.14,0.52,1.14
7,Car_2,7-22,36.962208417427064,10.242218443950737,11:42,Moderate Traffic,5.22,11.19,0.52,1.14
7,Car_2,7-23,36.932614840841715,10.221271136860155,9:13,Moderate Traffic,3.78,9.86,0.38,0.84
7,Car_2,7-24,36.94217659807003,10.218082536527493,11:25,Moderate Traffic,1.1,2.87,0.11,0.24
7,Car_2,7-25,36.92631848340102,10.207250635021675,10:14,Moderate Traffic,2.01,5.24,0.2,0.44
7,Car_2,7-26,36.96086564354012,10.218090996256578,11:39,Moderate Traffic,3.96,10.33,0.4,0.88
7,Car_2,7-27,36.96511425043502,10.257030720801499,10:56,Moderate Traffic,3.49,9.1,0.35,0.77
7,Car_2,7-28,36.980089912437975,10.299055727622138,11:01,Moderate Traffic,4.09,10.67,0.41,0.9
7,Car_2,7-29,36.95288568843561,10.287327643974484,10:56,Moderate Traffic,3.2,8.35,0.32,0.7
7,Car_2,7-30,36.93522270463828,10.258491969845329,10:02,Moderate Traffic,3.23,8.43,0.32,0.7
7,Car_2,7-31,36.89055990128863,10.272315149000534,9:43,Moderate Traffic,5.12,10.97,0.51,1.12
7,Car_2,7-32,36.865045807437404,10.27769067472664,9:30,Moderate Traffic,2.88,7.51,0.29,0.64
7,Car_2,7-33,36.83690128503591,10.299579366131486,11:21,Moderate Traffic,3.69,9.63,0.37,0.81
7,Car_2,7-34,36.85291954632475,10.254411644686376,11:58,Moderate Traffic,4.4,11.48,0.44,0.97
7,Car_2,7-35,36.82593967414154,10.20541532584182,11:53,Moderate Traffic,5.29,11.34,0.53,1.17
7,Car_2,7-36,36.82778495453136,10.172102734919159,10:53,Moderate Traffic,2.97,7.75,0.3,0.66
7,Car_2,7-37,36.875379125393586,10.167042562868984,10:48,Moderate Traffic,5.31,11.38,0.53,1.17
7,Car_2,7-38,36.8428776025994,10.119863381670193,11:44,Moderate Traffic,5.54,11.87,0.55,1.21
7,Car_2,7-39,36.87758317096482,10.107788102379113,10:07,Moderate Traffic,4.01,10.46,0.4,0.88
7,Car_2,7-40,36.92494390816635,10.137605336050422,11:01,Moderate Traffic,5.9,12.64,0.59,1.3
8,Car_2,8-1,36.776432118264445,10.21258819941566,13:17,Moderate Traffic,4.34,11.32,0.43,0.95
8,Car_2,8-2,36.75074420168955,10.196212216526302,15:05,Moderate Traffic,3.21,8.37,0.32,0.7
8,Car_2,8-3,36.75163203272695,10.16414717796597,13:23,Moderate Traffic,2.86,7.46,0.29,0.64
8,Car_2,8-4,36.73989667945567,10.153387365544026,14:32,Moderate Traffic,1.62,4.23,0.16,0.35
8,Car_2,8-5,36.70094588246509,10.124066368124549,15:00,Moderate Traffic,5.06,10.84,0.51,1.12
8,Car_2,8-6,36.69550063479855,10.156897169601645,16:55,Rush Hour,2.99,8.97,0.43,0.95
8,Car_2,8-7,36.660991956412886,10.148740532213651,14:09,Moderate Traffic,3.91,10.2,0.39,0.86
8,Car_2,8-8,36.64786334454301,10.119346894802213,16:41,Rush Hour,3.0,9.0,0.43,0.95
8,Car_2,8-9,36.67150474315807,10.113686574800989,15:59,Moderate Traffic,2.68,6.99,0.27,0.59
8,Car_2,8-10,36.64129201915212,10.10069764089621,14:44,Moderate Traffic,3.55,9.26,0.35,0.77
8,Car_2,8-11,36.64113435831407,10.111909692355667,16:39,Rush Hour,1.0,3.0,0.14,0.31
8,Car_2,8-12,36.59328032635242,10.086212656243465,13:34,Moderate Traffic,5.79,12.41,0.58,1.28
9,Car_1,9-1,36.802678997208695,10.22728488598082,9:34,Moderate Traffic,4.1,10.7,0.41,0.9
9,Car_1,9-2,36.77461475795393,10.204160692231696,9:40,Moderate Traffic,3.74,9.76,0.37,0.81
9,Car_1,9-3,36.80917895125023,10.219198996832171,9:50,Moderate Traffic,4.07,10.62,0.41,0.9
9,Car_1,9-4,36.761006058005165,10.197831881129273,11:17,Moderate Traffic,5.68,12.17,0.57,1.25
9,Car_1,9-5,36.73912201876558,10.19496610792606,9:22,Moderate Traffic,2.45,6.39,0.25,0.55
9,Car_1,9-6,36.724951805404224,10.200072589334598,11:23,Moderate Traffic,1.64,4.28,0.16,0.35
9,Car_1,9-7,36.68293645235331,10.183595467829434,10:24,Moderate Traffic,4.9,12.78,0.49,1.08
9,Car_1,9-8,36.71161042517758,10.160930323532792,11:21,Moderate Traffic,3.77,9.83,0.38,0.84
9,Car_1,9-9,36.7594428808628,10.128074456944768,9:37,Moderate Traffic,6.07,13.01,0.61,1.34
9,Car_1,9-10,36.726955606954625,10.116764921729178,9:28,Moderate Traffic,3.75,9.78,0.38,0.84
9,Car_1,9-11,36.76845832469018,10.101009532893338,9:09,Moderate Traffic,4.82,12.57,0.48,1.06
9,Car_1,9-12,36.80015395540587,10.09211267127294,9:09,Moderate Traffic,3.61,9.42,0.36,0.79
9,Car_1,9-13,36.76550982258156,10.124178936445672,10:25,Moderate Traffic,4.8,12.52,0.48,1.06
9,Car_1,9-14,36.725527178656705,10.083757900240487,9:36,Moderate Traffic,5.72,12.26,0.57,1.25
9,Car_1,9-15,36.76109906117534,10.067619092809615,11:02,Moderate Traffic,4.21,10.98,0.42,0.92
9,Car_1,9-16,36.731794416211066,10.111325590482917,9:21,Moderate Traffic,5.08,10.89,0.51,1.12
9,Car_1,9-17,36.690382868392234,10.080961324867936,9:26,Moderate Traffic,5.34,11.44,0.53,1.17
9,Car_1,9-18,36.64081245208587,10.051429262162344,11:45,Moderate Traffic,6.11,13.09,0.61,1.34
9,Car_1,9-19,36.66935795593766,10.009314002631212,9:50,Moderate Traffic,4.92,12.83,0.49,1.08
9,Car_1,9-20,36.68351231533802,10.007369627591046,9:05,Moderate Traffic,1.58,4.12,0.16,0.35
9,Car_1,9-21,36.654403742379706,9.99340228563575,9:31,Moderate Traffic,3.47,9.05,0.35,0.77
9,Car_1,9-22,36.68581687154172,9.963425538445025,9:48,Moderate Traffic,4.4,11.48,0.44,0.97
9,Car_1,9-23,36.72490514306378,9.983298962104941,10:21,Moderate Traffic,4.69,12.23,0.47,1.03
9,Car_1,9-24,36.71646214785808,9.950887231544566,11:48,Moderate Traffic,3.04,7.93,0.3,0.66
9,Car_1,9-25,36.761644998014354,9.989978924846106,9:45,Moderate Traffic,6.11,13.09,0.61,1.34
9,Car_1,9-26,36.73609223722614,9.948128671285609,11:18,Moderate Traffic,4.69,12.23,0.47,1.03
9,Car_1,9-27,36.714516816147864,9.930042548259363,11:55,Moderate Traffic,2.89,7.54,0.29,0.64
9,Car_1,9-28,36.69821314837147,9.978631933814219,10:21,Moderate Traffic,4.7,12.26,0.47,1.03
9,Car_1,9-29,36.670142991323154,9.94962074194085,10:53,Moderate Traffic,4.05,10.57,0.4,0.88
9,Car_1,9-30,36.693087116964215,9.972098809963045,11:10,Moderate Traffic,3.24,8.45,0.32,0.7
9,Car_1,9-31,36.69630319341131,9.998346295194764,10:18,Moderate Traffic,2.37,6.18,0.24,0.53
9,Car_1,9-32,36.74318704665642,9.986084608915467,11:41,Moderate Traffic,5.33,11.42,0.53,1.17
9,Car_1,9-33,36.777315495126274,9.953977502593457,10:15,Moderate Traffic,4.75,12.39,0.47,1.03
10,Car_1,10-1,36.81860093602515,10.152395817885637,15:35,Moderate Traffic,2.92,7.62,0.29,0.64
10,Car_1,10-2,36.86738504131991,10.14390241536187,16:52,Rush Hour,5.48,13.15,0.78,1.72
10,Car_1,10-3,36.86199084509379,10.165119570800092,13:29,Moderate Traffic,1.98,5.17,0.2,0.44
10,Car_1,10-4,36.835914180163556,10.169972887647148,13:40,Moderate Traffic,2.93,7.64,0.29,0.64
10,Car_1,10-5,36.85476200863868,10.180833064183656,13:46,Moderate Traffic,2.31,6.03,0.23,0.51
10,Car_1,10-6,36.831311024420565,10.140787607767233,14:52,Moderate Traffic,4.42,11.53,0.44,0.97
10,Car_1,10-7,36.812056132312364,10.11412934938722,16:03,Rush Hour,3.2,9.6,0.46,1.01
10,Car_1,10-8,36.85447447443373,10.126041972459706,14:12,Moderate Traffic,4.83,12.6,0.48,1.06
10,Car_1,10-9,36.864366367717814,10.113569717545165,16:52,Rush Hour,1.56,4.68,0.22,0.48
10,Car_1,10-10,36.82683037248764,10.152654164390103,14:07,Moderate Traffic,5.43,11.64,0.54,1.19
10,Car_1,10-11,36.795113007137985,10.138970562662113,14:06,Moderate Traffic,3.73,9.73,0.37,0.81
10,Car_1,10-12,36.83613926188264,10.122829908017906,15:47,Moderate Traffic,4.78,12.47,0.48,1.06
10,Car_1,10-13,36.884986379050225,10.163748140588543,14:41,Moderate Traffic,6.54,14.01,0.65,1.43
10,Car_1,10-14,36.8626076918505,10.178598637671541,16:32,Rush Hour,2.82,8.46,0.4,0.88
10,Car_1,10-15,36.88770615136306,10.174724585041854,14:46,Moderate Traffic,2.81,7.33,0.28,0.62
10,Car_1,10-16,36.926232814050415,10.224516688399445,14:15,Moderate Traffic,6.16,13.2,0.62,1.36
10,Car_1,10-17,36.96277084564024,10.190372971782582,16:38,Rush Hour,5.07,12.17,0.72,1.58
10,Car_1,10-18,36.98531448220195,10.150138363972212,16:38,Rush Hour,4.37,13.11,0.62,1.36
10,Car_1,10-19,37.01076020822096,10.138830772997391,15:40,Moderate Traffic,3.0,7.83,0.3,0.66
10,Car_1,10-20,37.053580590468805,10.159217835237735,13:58,Moderate Traffic,5.09,10.91,0.51,1.12
10,Car_1,10-21,37.06995935063136,10.138107482094673,16:50,Rush Hour,2.61,7.83,0.37,0.81
10,Car_1,10-22,37.06515887422399,10.154163182093702,16:59,Rush Hour,1.52,4.56,0.22,0.48
10,Car_1,10-23,37.10646074908611,10.142811957195482,13:40,Moderate Traffic,4.7,12.26,0.47,1.03
10,Car_1,10-24,37.065143057409955,10.128360490972469,15:41,Moderate Traffic,4.77,12.44,0.48,1.06
10,Car_1,10-25,37.05506961604309,10.131389186457554,15:50,Moderate Traffic,1.15,3.0,0.11,0.24
